,inner_star1_id,inner_star2_id,tertiary_star_id,sep_inner_AU,sep_inner_tertiary_AU,matched_stars,matched_catalogs,solution_type,n_matched_components
237,5575150575670703744,5575150575668513152,5575150575670703104,280.8548736486563,1503.8917528097522,inner_star1,NSS,SB2,1
238,3291454784360739968,3291454788654785792,3291454784360089984,290.18712810279675,1512.4562035679526,tertiary,NSS,Orbital,1
239,6375292705058824576,6375292709353220224,6375292709353220992,99.85538712647784,665.9661729076528,tertiary,Gaia_Eclipsing,eclipsing,1
240,5916239801548084096,5916239801548083456,5916239389231202176,243.483850746125,6373.828344434482,inner_star1,Gaia_Eclipsing,eclipsing,1
241,5916369986283710336,5916369990595550336,5916369990595550208,525.626798936684,5248.280505274596,inner_star2,NSS,SB1,1
242,1235790703855522048,1235790703855521792,1235813450002342656,1734.339665701287,132637.58080551293,inner_star1,NSS,Orbital,1
243,252190725755396864,252190725755396352,252192306303352192,844.5746582204063,57513.48905951824,inner_star1,Gaia_Eclipsing,eclipsing,1
244,5215342164351003648,5215342164347494272,5215342164350149120,314.8533282233411,3140.004520954129,inner_star1,Gaia_Eclipsing,eclipsing,1
245,2799886190965663616,2799886195260808064,2799886534563047168,1315.5354010273095,36622.1196285287,tertiary,NSS,SB1,1
246,1908193397692584320,1908193397689529728,1908193397692584704,243.605139707412,2326.781510302204,tertiary,Gaia_Eclipsing,eclipsing,1
247,5523988306767328128,5523988306767330176,5523987069816765696,5093.644292970685,26352.51937822464,inner_star2,NSS,Orbital,1
248,5694223905403558656,5694223905397676416,5694224214641197696,690.8939351013818,7459.6183921670045,inner_star2,NSS,SB1,1
249,391179574005745792,391179578301288832,391179196048624000,466.2000839011745,5080.8777165244655,inner_star2,Gaia_Eclipsing,eclipsing,1
250,4016424995974602752,4016424991681494784,4016401528273296896,402.5451720477232,3445.6774791664775,inner_star1,NSS,Orbital,1
251,2168333107190987136,2168333107190986624,2168333107190983680,2054.1637951780176,7272.819727623646,inner_star2,NSS,SB1,1
252,4001683186450435072,4001683190746009856,4001682434831765248,816.0556607174051,14546.419523028188,tertiary,NSS,SB1,1
253,2837031271460571136,2837031271460571520,2837031271460571776,803.9367762710108,1271.598851209126,inner_star1,NSS,SB1,1
254,2845310284780421120,2845310284779026560,2845310284780420864,54.37826640476886,549.7278605136282,tertiary,NSS,Orbital,1
255,5743042049860282624,5743042049859479168,5743042835839064704,644.3722388438914,8946.61591124921,inner_star1,Gaia_Eclipsing,eclipsing,1
256,5734630919052073088,5734630923346772608,5734631674966316928,531.204311808916,5180.776683748001,tertiary,Gaia_Eclipsing,eclipsing,1
257,6569198388140725504,6569198388140744960,6569197632226481280,569.024447431805,3152.3028833994067,tertiary,NSS,SB1,1
258,6574715393889814016,6574715393888278272,6574715393890361728,136.45009036877954,1833.663006514779,tertiary,NSS,AstroSpectroSB1,1
259,3189563041813384960,3189563046110403840,3189563046110405760,588.3942675163541,12546.77986810531,inner_star1,Gaia_Eclipsing,eclipsing,1
260,181190002905822720,181190002908862720,181189968549128192,483.55123343156,14532.627535595311,inner_star2,Gaia_Eclipsing,eclipsing,1
261,5309511074681228160,5309511070369224064,5309505302245140608,530.7262939671328,68425.42546451144,inner_star1,Gaia_Eclipsing,eclipsing,1
262,6463639465076936448,6463639465075755008,6463641079984637440,109.58795201340854,18006.498051602168,tertiary,NSS,SB1,1
263,658163953832265344,658163953831292544,658163949536096256,1115.1143764629076,4610.738521296056,inner_star2,Gaia_Eclipsing,eclipsing,1
264,5698502650591993216,5698502650596274432,5698514405929057536,1396.3086990339127,17906.050324621538,inner_star1,NSS,SB1,1
265,6461313207709862144,6461313207709862016,6461313207709861504,1180.106465940312,3266.4186100835223,inner_star1,Gaia_Eclipsing,eclipsing,1
266,6595180157140091520,6595180157140091648,6595180122780353408,2196.64287490566,27910.36220643689,inner_star1,NSS,Orbital,1
267,6598117468094039296,6598117463799645056,6598117193216048256,795.459946039427,20724.413909907424,inner_star1,NSS,SB1,1
268,1311455314509501184,1311455314507660544,1311455348869240704,362.55457284834824,7653.992452839628,inner_star1,Gaia_Eclipsing,eclipsing,1
269,1311450538505896960,1311450538505896704,1311450568568638848,266.96436708418133,1157.607097640233,tertiary,Gaia_Eclipsing,eclipsing,1
270,5297182555721095552,5297182560022198272,5297933182865826048,657.6136116440659,15191.217113909166,tertiary,NSS,SB1,1
271,2136919922536965504,2136919922533926272,2136919853817496064,1067.9772664586503,15149.383005918433,tertiary,NSS,SB1,1
272,5368324638837469312,5368324638837468544,5368325429111446272,517.3324103953641,13831.508431489128,inner_star1,NSS,SB1,1
273,1491699183363164928,1491699183363165056,1491699252082642048,1637.3131469503442,17692.893292945897,tertiary,NSS,Orbital,1
274,764197934635524224,764197934635516416,764200919637202560,1856.1203684805268,32231.930952229428,inner_star1,Gaia_Eclipsing,eclipsing,1
275,6644840974200903808,6644846849713646208,6644841042920381184,19.37410867319982,699.8870239098942,tertiary,NSS,Orbital,1
276,786335261231996800,786335256937602432,786334883274876928,1468.015966869784,31125.46308318753,inner_star1,NSS,SB2,1
277,1151488123697266304,1151488123697266432,1151488123697266688,774.2886370169368,6062.649691686707,tertiary,Gaia_Eclipsing,eclipsing,1
278,4655054575256623232,4655054575256623360,4655054575284598400,226.09319653922896,1108.272790816858,tertiary,Gaia_Eclipsing,eclipsing,1
279,510301252184007296,510301252178454528,510301252179821952,680.3727876827547,1335.5912268814195,inner_star1,Gaia_Eclipsing,eclipsing,1
280,2875176319125669888,2875176319124591744,2875176250406193920,159.75054322819,20690.972755501025,tertiary,NSS,SB1,1
281,435323870649664768,435323870649663104,435323973728852096,2861.74302402341,44872.38744578326,inner_star2,NSS,Orbital,1
282,2965442169315429120,2965442169320540032,2965442169320540544,459.1356301035457,7840.7839353064865,inner_star1,Gaia_Eclipsing,eclipsing,1
283,5538991310427393920,5538991314734933248,5538991314734937344,153.47441761680457,2100.744559356466,tertiary,NSS,Orbital,1
284,2925639951469407616,2925639951477403392,2925636996539903616,540.1296926405772,9181.75288881609,tertiary,NSS,SB1,1
285,81546585544101120,81546589839785856,81546418041094272,1204.6801190752976,20971.5402808696,inner_star1,Gaia_Eclipsing,eclipsing,1
286,1838645026627825024,1838644992268086144,1838644987972081664,1968.3826182273683,6322.021366371169,inner_star1,NSS,SB1,1
287,4772162248762197120,4772162248763496576,4772162356137800448,2077.026910317368,10431.980217451746,inner_star1,Gaia_Eclipsing,eclipsing,1
288,4651292424425138560,4651292424445189120,4651292454492121600,512.632631140723,5226.621521157165,inner_star1,NSS,SB1,1
289,4131932334610090624,4131932334607287168,4131932330308880512,20.86628688309312,609.3426680967176,inner_star1,Gaia_Eclipsing,eclipsing,1
290,5983465454290282240,5983465351211068544,5983276166505403648,13355.802502532992,52236.193053430674,inner_star1,NSS,AstroSpectroSB1,1
291,5983504074637154560,5983504074628000768,5983504074637154176,496.5859984724299,1414.0210113669282,tertiary,NSS,SB1,1
292,2028324388917039488,2028324388917038592,2028324457636525952,2235.21308036422,17143.15906198025,inner_star1,Gaia_Eclipsing,eclipsing,1
293,3901558981860921728,3901558981860202496,3901558977565351040,598.6469605345935,16829.283576515394,inner_star1,Gaia_Eclipsing,eclipsing,1
294,5562917615458941056,5562917581096131072,5562894315258998528,943.7827221972968,13773.46697077302,inner_star1,NSS,SB1,1
295,5563671227601492608,5563671227600647552,5563671296320120704,101.25901726564685,3597.095881795277,inner_star1,NSS,OrbitalTargetedSearch,1
296,2227295792610559616,2227295792607613696,2227295792610558848,313.1632171684577,2169.6189373862435,tertiary,Gaia_Eclipsing,eclipsing,1
297,5191388788142572800,5191388783846770560,5191388891221790080,1165.40918151529,7583.035870412272,tertiary,NSS,SB1,1
298,5194547753767631744,5194547753766117760,5194548475322140672,275.47914338054426,8851.30717194264,tertiary,NSS,Orbital,1
299,2481164673748044800,2481164678043548544,2481161650091201920,1339.2004558803787,27848.50061680387,inner_star1,Gaia_Eclipsing,eclipsing,1
300,2488625379834199936,2488625379834200064,2488625375538969472,989.8585587373938,4343.526465320147,inner_star2,Gaia_Eclipsing,eclipsing,1
301,1724457651705400448,1724457651704871040,1724457686064576768,492.38977106212735,9758.64144956419,tertiary,NSS,Orbital,1
302,3220226703126640256,3220226707420509568,3220226707421438720,251.221605925632,2551.5960817408104,inner_star1,Gaia_Eclipsing,eclipsing,1
303,1499064399440851968,1499064399440851840,1499064433800590592,227.79454760164657,2361.7750033382213,tertiary,NSS,Orbital,1
304,1506446451788552832,1506446451789990656,1506446447494424064,206.4891957074414,2259.177910213506,tertiary,Gaia_Eclipsing,eclipsing,1
305,6463653964884789632,6463653964886452224,6463653960589812736,252.3432101344351,2359.8342524372274,inner_star2,Gaia_Eclipsing,eclipsing,1
306,1095464084956315008,1095464157972514688,1095464157972515456,287.1642114770462,2281.2825883756514,inner_star1,NSS,SB1,1
307,6781883313211694592,6781883244492559488,6781883244490247552,356.99648584272086,836.6304500072197,inner_star1,NSS,SB1,1
308,3192421364025506048,3192421364023913344,3192422119939751040,795.7557561753764,11544.957211358944,tertiary,NSS,Orbital,1
309,5074803687597449088,5074803683301681280,5074803893755879040,501.78965177755725,1732.6406950513,inner_star1,NSS,SB2C,1
310,5063565063856267648,5063565063852567040,5063565270014697600,480.4119063485288,12203.96325631221,inner_star1,Gaia_Eclipsing,eclipsing,1
311,4093367788975882368,4093367788899838208,4093367788899822464,74.58721693874641,892.1147486565662,inner_star1,Gaia_Eclipsing,eclipsing,1
312,5486249769163340544,5486249769165612288,5486249764868359168,140.3817401048904,2502.440823835477,tertiary,NSS,AstroSpectroSB1,1
313,5782867151292094336,5782867116935208832,5782866395380701824,411.18495392210446,4447.895119671002,inner_star1,Gaia_Eclipsing,eclipsing,1
314,5354817099820930944,5354817104132161792,5354817099821380736,301.1824540567491,2921.5862544603588,inner_star2,Gaia_Eclipsing,eclipsing,1
315,1099633196827612160,1099633196826972928,1099633196826973312,745.0446282451242,7895.8615536254765,inner_star2,NSS,SB1,1
316,1232332739786264448,1232332739785673856,1232332838569946752,399.1546409883479,7244.28515104801,inner_star1,NSS,Orbital,1
317,5206532293071223936,5206531537157744128,5206531532861770368,422.0415082071791,1645.9945391870278,inner_star1,NSS,AstroSpectroSB1,1
318,36215855733158272,36215855732737536,36215855732737408,84.3661531123695,830.513848822527,tertiary,NSS,Orbital,1
319,41904277920157952,41904282215183616,42116006923831168,223.2901494039351,36185.85350757309,tertiary,NSS,Orbital,1
320,5390772027699944960,5390772027699945088,5390772023403104256,198.826323210423,1388.2566487198874,inner_star1,NSS,Orbital,1
321,5391255469220953216,5391255469220953344,5391255434861211008,1178.142603488447,13775.697455624006,inner_star1,Gaia_Eclipsing,eclipsing,1
322,5668488323909324032,5668488323908739968,5668488323909323776,909.9289765935796,8796.406252286939,inner_star1,Gaia_Eclipsing,eclipsing,1
323,5794020219295984768,5794020219295984640,5794020219289747456,207.5556391884345,1802.77650917562,inner_star1,NSS,Orbital,1
324,453467667935686528,453467564856471552,453467667935685888,717.1541115631368,1649.526940599324,inner_star1,NSS,SB1,1
325,187055072810477440,187055240312913920,187055278968906624,1616.235515868235,8193.888619967533,inner_star1,Gaia_Eclipsing,eclipsing,1
326,4258155925907947776,4258155925875806592,4258155990302460544,727.8040260585726,24051.751077294204,tertiary,Gaia_Eclipsing,eclipsing,1
327,1651302916861292416,1651302916860037760,1651302706407231744,420.914132253701,7106.0299799149325,tertiary,NSS,AstroSpectroSB1,1
328,1645297693587870592,1645297693586764288,1645296868954148608,398.1714410919192,34549.73569225824,tertiary,Gaia_Eclipsing,eclipsing,1
329,3344829137520377216,3344829137517134976,3344828931361765248,1809.4292778552365,13497.038356980853,tertiary,Gaia_Eclipsing,eclipsing,1
330,6775185565114528256,6775185569409965696,6775185672490946560,227.4854469341343,6024.009309116131,inner_star1,NSS,SB1,1
331,2278645837483383936,2278646593397627648,2278622090607523968,1357.9886058413251,39222.49795352187,inner_star1,NSS,AstroSpectroSB1,1
332,6854777257643012992,6854777257643013760,6854775986332682368,4239.996166386986,28773.60171140862,inner_star1,Gaia_Eclipsing,eclipsing,1
333,5602132414921932160,5602132419235140992,5602132419235137920,402.33995617423193,6079.840868574025,tertiary,NSS,AstroSpectroSB1,1
334,2395991628273067392,2395991628272886272,2395991692697374464,662.1185263977519,18953.15546941726,inner_star1,NSS,SB1,1
335,2407111985797234432,2407111985796805760,2407112187660324096,1113.912343201074,20135.97505248267,inner_star1,Gaia_Eclipsing,eclipsing,1
336,2542470869429424640,2542470869429424512,2542470628911257088,901.1249906130184,2569.7126098745557,inner_star1,NSS,SB1,1
337,1307843453170698112,1307843453171762688,1307843448875201408,381.8989686369656,2984.3963219411944,tertiary,Gaia_Eclipsing,eclipsing,1
338,3006517484190410240,3006517479895224192,3006517479895224320,2341.100847166215,3766.995584045296,inner_star1,NSS,Orbital,1
339,3080899239653191808,3080899239650349440,3080899205293455232,252.18150237299827,5113.1769448300565,tertiary,NSS,SB1,1
340,4547122180248349312,4547122184544917376,4547122248969030016,210.6127241087136,6928.342189878642,inner_star1,NSS,SB2,1
341,4546615928161338624,4546615928158560384,4546615859442869760,431.296368650158,16318.288507662905,inner_star1,NSS,SB1,1
342,5589260569734154112,5589260574035115136,5589260470954585600,737.510729765738,12197.882920947042,inner_star1,NSS,SB1,1
343,5426812369593476864,5426812365296374016,5426812365298165504,622.4804047945955,3372.5808567691597,inner_star2,Gaia_Eclipsing,eclipsing,1
344,3651281067039670400,3651281062745425152,3651281067040388992,444.1250371178098,10856.483672481823,tertiary,Gaia_Eclipsing,eclipsing,1
345,2205189458501674368,2205189458496572416,2205142518799695104,1367.0239310410718,9668.193399086122,inner_star1,NSS,Orbital,1
346,4530301305914578176,4530301301617524096,4530300545702749440,189.0418401909371,1425.0283547625318,inner_star1,NSS,SB1,1
